Problems
To better myself serve my country and make my family proud,We didn't sleep the first 2 days  some of us had no sheets or pillows and most things we were issued were in some way wrong a lot of us didn't receive the full amount of clothing or other items we were supposed to receive the orders from the drill sergeants were vague and the personal who worked their other than the drill sergeants were all very rude and treated us like we weren't worth their time.,120th doesn't do their job verry well mostly because of their limited resources I believe ,Again mabey more time for rest before starting reception as I arrived at midnight and didn't sleep for at least 2 nights
I don't know yet ,I wouldn't change anythin that I've done so far ,BCT is hard but worth it In the end so keep pushin ,Make friends always look for the good in every situation 
My family is full of successful commissioned officers,The lunch and dinner often only had a single piece of meat that did not have more than 10 grams of protein in it. The MREs have always had a great amount of all nutrients though.,A single small piece of meat is not enough to be sustainable,Have whoever prepares meals allocate more protein into the food
"I joined so that I can take care of my self and and my future family and be able to take them to the hospital when they need to,and to have more structure and discipline in my life ",Yes ,"It's tough but we are fed,and taken care of and our need are met but we still workout and we still learn to be soldiers ",No everything is okay 
Benefits,No ,No improvement necessary,No 
I was recruited ,I'm not 100% mentally here,It's self explanatory ,Yes
Long story ,"It's stained and filled with dirt, spots, spilled drinks etc because of previous soldiers who had to exercise or eat or stand in that area. Then we eat on this same area","We stand, exercise and eat on the same spots",Maybe providing some sort of cover to separate were we'd eat from where we exercise and stand and sweat etc
I was scared to go to college and I wanted to serve my country,Like back home i wish I would've prepared physically for the intense PT of BCT,"The PT here isn't too hard but also isn't a cakewalk, especially if your platoon struggles with directions",Not really 
I decided to join because I'm the person that really likes helping other people and I know that if I make it in the army I will be able to help other people out,Like drill sergeants have like a family time before personal time,I would say it would make troops feel more like home knowing that drill sergeants are there to make them better,No
I joined to better myself and to serve my country ,It was 90% standing around and waiting. We also were permitted very little sleep. ,We were sleep deprived for no good reason. ,Better management of time and resources during reception. 
So I can get the job I want when I'm out,Better food,I want better food,Making better food in the dfac
To try and get my mom's citizenship,I felt pushed to be better at the tasks asked of me,The drill sergeants will push you and show you how to do the things you are told to do. Even if it tskes a little bit of corrective training,I don't know
"Well I wanted to provide a good future for myself and for the girl of my dreams Abby, she means a lot to me and I think the Army will provide a good start to her and I's future ","Well there was a lot of sitting around, it was more of a mental game and I feel like the Drill Sergeants could have respected our personal belongings and items that will keep us going throughout basic training. I'm holding onto my goals to keep going but it's hard to maintain that when the Drill Sergeants are crapping on that dream ","The Drill Sergeants are not respecting your personal business and belongings, they need to know that during BCT, these items keep us going and it doesn't help when the DS isn't respecting that. ","Have the DS respect our personal belongings. They need to know that's what keeps us going, it's not JUST the battle buddies "
To serve a country I love ,Worked out more lost a little more weight ran a little more I'm in good shape now as it is though just it could always be better ,Go to the gym and get in better shape ,Get recruiters to be more motivating 
Travel and experience ,Terrible judgment and wrong standards,Drill sergeant McCoy was a terrible leader,Other then real food and more arm emerges we good
tuition ,more food time would be nice ,it would be nice to have more time to eat,give trainees more time to eat food and allow trading MRE's to increase moral  
pick up a skill ,i wouldn't change or do anything differently ,the training is tough but good ,drill sergeants making a presentation of what to expect perhaps
"Job skills, lots of benefits, and I've been interested in the service since childhood",working hard every day and obeying orders.,"its like packing for a last minute vacation every day, make sure to show up with all the gear you need slightly ahead of time.",keep the stress on the the trainees. being late and missing gear is not good.
For financial aid in college,I miss my home and family a lot,I would say that personally you'd have to think about coming to bct very deeply ,I'd honestly just appreciate just a little more phone time which would be great
I wanted to try something instead of just working for a check base on the hours I work and I decided to try the army also the 20 year retirement doesn't sound bad at all the health and dental coverage and also to get my US citizenship and get my education without getting to pay for it ,When we get time to go is only 15 min but we take 3 to go to the bay and then is all crowned that at the end is only like 4 min ,You get 15 min to go to the restroom but in does 15 you take 8 or 6 min to go back and for the bay if your stomach doesn't feel good and you take longer then what you were giving you get smoke ,No 
To become a person who matters and is of importance ,Basic is supposed to suck stop trying to improve it,Embrace the suck ,Not sure 
Grow as an individual ,We seat in line all day every day ,We seat in line all day ,Do it at recruiting center 
Benefits ,It could have more flavor,"The food is""good""",I do not know
"A lot of reasons, one of them is I got the opportunity to go to university o colleague ",I don't think so ,If somebody ask me bout' the army. Imma say is 99 mentality and 1% workout ,Not sure. 
I want to set up a future for my girlfriend and I,More training. There is too much time to sit and think about what you miss at home and that can affect someone's decision on following through with the army,You have a lot of down time of just sitting and waiting and thinking about your family and the people at you love back at home so just give us something else to do,Just keep us busy with things we need to know
"To set an example for my younger siblings, and the educational benefits",things of that nature ,Instructions that were given are not the same instructions  throughout the transitioning process into bct from reception ,No sure exactly just them they communicate more to better prepare trainees for success 
2003,"I wish the way meals were given were different, there's hardly ever salt or pepper and we need salt with how much we are sweating ","The church services could be better too, there's not all religious practices offered. The drill sergeant said three different types of a religion were the same thing, and they aren't the drill sergeants also didn't respect our beliefs by the way they rudely interrupted service and cursed at us right when we were dismissed from service ","The first one, the cooks. Although the food is normally good, it normally always needs salty or pepper and it's hardly ever provided. And the second one, the drill sergeants who don't respect trainees religious belief ","Inform the people who send our meals to us, to remember to put salt and pepper along with it. And for the church services, provide all religions and tell the drill sergeants to have respect for trainees religions "
College ,Idk,Idk,No
i decided to join the army because my oldest brother was in the army and i also wanted my schooling to be paid for and to half a good retirement fund,the personal time schedule is hard because we don't get enough time with that being said it's hard for us to do things that we have to do because it overlaps into resting time ,basically saying that time for ourselves is taken away so it's hard for us to focus on ourselves in such little time ,"the drill sergeants intervening i feel like yes they're supposed to check on us but it doesn't give us enough time we need more time to shower, do laundry, etc ",yes i do
Okay ,Because it's on the rise ,We got a COVID test at reception which is the Processing Station when you're first coming in before you ship to basic training and we got one more test a few days into yellow phase which is quarantine we're almost at the end of two weeks and hearing about COVID on the rise ,Social distancing and maybe a COVID test per phase 
I join the army for college benefit and to serve the country ,"Yes, ",As long as you put a effort on everything or follow whatever drill sergeants says it's will be a great journey. ,No I don't have 
A variety of reasons ,I'm in company echo 334,Are you an actual person, I don't know what you're talking about 
"i decided to be in the army, for schooling and bigger opportunities ","i wish that, the food was better and that we could get out of the heat more and do more things ",as in learning how to run and things ,"Things that could make BCT, better is that we can choose what foods we eat and not eat as much meal ready to eat meals with comes out a bag, and that we didn't really just get into everything and go step by step
",And that we get more sleep 
I wanted to start my life . I want stability and the ability to impact and change the world .,In terms of learning styles . Everyone learns differently.,Everyone learns differently . And that should be taken into consideration.,No 
To be apart of something bigger than myself.,I don't wish to do anything differently ,I'm these last to weeks I wouldn't have done anything differently ,No
Because me grandpa was in the Army and I want to go to school and open a business ,Some people are continually doing the wrong thing and breaking the rules and the drill sergeants know who they are but all of us are getting punished cause the individuals are breaking the rules and not being honest about it,Like a whole team being punished for another teammate being irresponsible and breaking the rules ,"Trainees don't want to be here, or don't care that they are affecting everyone else, or don't care that they are not supposed to be doing what they're doing, and just can't work together and consider others",I honestly don't know cause it's not about the drill sergeants it's the trainees
For educational benefits ,We had like 3 drill sergeants and they all would give us different commands so somethings it was hard to know who to listen to and who to follow ,I'm not sure ,I think it's just because we are all new and it's hard to know exactly what to do in such a new environment with so many shockers  ,Give some more time to adjust maybe I'm not sure 
"My main reason was college, to help pay for it and to give me time to decide what I want to go to school for",allowed to get more so I have to ask other females for the products I need,There's not enough time for everyone to shower each night and we don't have access to the feminine products we need,"We are told we should have gotten the stuff already, but some of us have run out of what we bought already. And they just don't give us enough time to shower",?
To be a role model for those who look up to me,"Honestly, I don't think the army is for me ",Sometimes I feel like I have no motivation ,"I feel like possibly stress, constantly in a stressful environment "
To help with my parent's citizenship,The way that 120 battalion and Echo company handled situations that had to do with EO complaints ,It is like trying to file EO or Sexual Harassment complaints at your job but your boss not really caring about the situation ,Not really. I think the only thing that will help improve this is a situation where a trainee gets seriously hurt because the simple fact that the Army didn't take a complaint seriously.
what,we only get either 30 minutes or an hour of personal time at the end of the day. lights out is at 20:00 when in the blue book it should be 21:00,you don't get a lot of time to write letters or time to yourself before the next day ,give us more personal time 
summer camp ,,,
I joined because I wanted a purpose for my life and I knew the army could give me that. I also always want to help people and make a difference and I knew the army could do that ,Because of Covid trainees still have to wear mask even if were vaccinated and I wish the rules were different other than that BCT has been great so far ,I think everybody outside of BCT knows about Covid so I wouldn't have to describe it differently ,I do not because most of us are vaccinated or getting vaccinated right now 
To travel ,At reception and here there has been the same group of people causing issues and we all just keep getting group talks,That nothing gets resolved here,To get it together 
2000,Echo ,I wish when someone messed up only they get in trouble instead of the entire platoon because most of the platoon tries to correct the individual on multiple accounts but they still ignore orders and the whole platoon suffer daily ,I definitely think giving the girls time to sit down as a platoon and talk without letting anyone lash out or single people out. Let the girls have an hour or so a week to let them get some stuff off there chest 
Family and school,Our ACFT is next week and I would a little more confident if we worked more on endurance based workouts to help us with the 2 miles ,We would only work on body weight exercises and barely any running. And we need to do a 2 mile run and haven't been prepared at all ,Longer endurance PT sessions 
I decided to join the Army because I wanted to make a difference ,I do not like the bay I am in ,The sleeping area that I was assigned to is not good,Changing bays 
My mom didn't get the chance to finish her years so I'm fallowing in her path,"I think all the drill sergeants have great communication and they demonstrate everything great, the way we do things everyday is good, and they give us plenty of of latrine breaks",They make is enjoyable but still tuff both physically and mentally ,No
2002,"No, anything that could have been done differently is what I could have done better. Like just being more aware of what was going on that day, being told what we are doing the next week ",Like when you're in school and your teacher tells you what the agenda for the day/week is. Like we had a test the other day and we only found out because a drill sergeant came into the room and asked about it.,I think Lack of communication between the drill sergeants and then communication between the trainees and drill sergeants. One drill sergeant will tell us to do something and then our other one will tell us something different. Also I'm sure the drill sergeants are super busy having to take care of so many people that they may get distracted,"Umm, to be honest, I can't think of anything. I believe that's just something that the people in charge will have to figure out for themselves, since we don't know their personal lives and all. It's easy to forget what you've said and done"
No problem,I wished that there were some separate punishments for people not doing the right thing since its not fair for people that do,Also i wished the food had batter flavor,I would say except for people outside of BCT that if one person constantly mess up then the people that don't have to take repercussions for then  ,I just think its people that don't want to be hear causing it
My parents and brother have all served in the Army. My husband is active Army currently. I wanted to help him support our family,"Just the small stuff. One Bay does something wrong, but both bays are punished. ","The girls are split up into two rooms to sleep in called Bays. If the girls in one room does something wrong, the room that didn't do anything wrong get punished too",To have the Drill Sergeants mete out punishments to the parties that caus the issues
For my sister,I just don't like my bay that's it.,I didn't like most of the people I stayed in a common shared area with.,Things have been done and haven't been working. I just gave up
I wanted to make a future for myself and thought it would be a great opportunity to learn and grow. ,There's a lot of drama that would go on and I would want to switch bays to get out of it.,That there's conflicts with the other girls sometimes ,I'm not sure what could be done 
Wanted to serve and be able to go to school ,I wished I had prepared more physically and did some more research ,I wish I exercised more,Make sure that people have the right information to prepare before hand 
"To follow in my families footsteps, and get some direction in my life. ",Almost every meal that we got there was not enough for the entire company and the drill sergeants would have to go back for more. ,"Imagine going to a wedding reception, the catering company knew how many people would be at the reception, but they only sent enough food for a portion so the serving staff had to go back to feed the rest of the guests",Not really aside from double checking numbers
"To make a difference, benefits, stability while figuring out life",On what,What was the question ,One thing I wish that would have been done differently is that the people in charge wouldn't just assume we know things or get mad when we don't understand and make us feel stupid for asking questions ,I do not 
"I wanted to join so I could travel, get job experience, and to serve my country ",Only the food portions ,I wish the food portions were bigger,I would say that the food you get here is less then outside of BCT and I think it's caused by exercising more and needing more nutrients,caused by exercising more 
"I joined the army for many reasons to become independent, to help my parents, to go to college and also to travel since I never really had the finances to travel ","I wish we had more personal time to wash out clothes and study things if that nature, it can be stressful having to do things at once especially when you are living with a lot of other girls that want their personal time to wash, shower, study, or relax from the day also I wish we were able to go to the troop store to get things we need","After a long day of exercising and sweating, having about 30 min to do all that can cause be stressful and it's makes the environment stressful because all the people you are living with at the moment want to do a lot of things on their personal time and also I wished the people that make the mistakes get in trouble individually","My platoon makes mistakes so we get our time taken away, that is why I wish the people that make the mistakes get in trouble individually ","Like I said the people that mess up  should get in trouble so others can see and not want to make the same mistake as them because by having us all do it the people that made the mistake don't learn, they think if they mess up the whole platoon we'll get in trouble maybe have them do more physical so they don't want to do the same mistakes "
For my family and my future ,I wish there would be more individual punishments and less group punishments. Specifically for when individuals cause trouble for others in their platoon and don't learn from group punishment.,Some people do not learn well unless directly confronted about there mistakes and how to fix them. Like a one on one tutor in school rather than a teacher for a whole class.,"The individuals who need more work don't get a good incentive to behave and stop getting others in trouble, because they don't care.",Individual counseling or dividing the misbehaving Individuals from those who they are negatively affecting
"I decided to join to serve my state because I wanted to help my community, friends, and family. ",I wish we had harder corrective action when it comes to the troublesome trainees that cause problems. If a certain group is causing issues within a platoon they should be handled separately and differently.,If certain people need discipline or corrective action then they individually should get the corrective actions instead of the entire group,"Trainees being here for the wrong reasons, purposely getting everyone in trouble. If someone wants to be here then they should be able to show and prove they belong here","Corrective action on those individuals instead of the entire group. Anything relating to fratornzation, and bullying should be terminated and therefore booted out"
"I joined because I want to serve my country, on top of that I wanted to make my family proud and hopefully one day be able to take care of them. ","The drill sergeants use Gods name in vain a lot. If that could stop or even slow down that would be great. Also, The hot A's were not that good. ",I would tell them that the food has no seasoning and that the drill seatbelts are always swearing while using Gods name ,I have no clue. Maybe they have no religious or different religious beliefs. Also i don't know what's going on with the food but I feel like it could have some more seasoning ,I think that someone could have a talk with the the drill sergeants to let them know that a lot of people are offended by that and to watch what they say. Also the food can be seasoned or the defac could provide more salt and pepper packets 
I joined because I thought I had too,I didnt have a problem with anything,People did their job correctly and I knew what would happen so I dont think I would change anything ,No
I'm from a military family. But the last family member in the ARMY was my great grandfather. I wanted to stray from what my family did. I've wanted this since I was 6 years old.,"It's just stuff that as a teenage girl, I wish was different. But I know that it is done that way for a reason.","Even if you are not the one doing something wrong and don't always fully know what was done wrong, you will still be disciplined for it.",I do think that specific people should be punished for their mistakes too though.
Hey is Matos ,,,
Well I joined the Army because I was having a lot of bad luck with my life ,Well I think everything its alright the way it is ,I'm in echo company ,Thats all
My parents,Some battle buddies don't like to do things like make their beds so their battle buddies make it for them and when we speak up the whole platoon gets in trouble even if we're in different bays,Everyone gets in trouble for things things their buddies do that they can't control,The people doing the wrong thing should be disciplined individually
To serve my country and purse a military career,"With my families dying from this current virus and considering the virus might effect graduation, I think we should be able to speak to them more",Hearing from our families more than twice a week should be considered,Letting us have our phone more 
I joined to improve myself and my bad habits ,There's nothing that I wish was done differently everything is going ok ,I would say that BCT isn't that bad just prepare yourself physically and mentally , No
"I decided to join because I just graduated high school and I wanted to try the army out because I heard so many good things and somebody from recruiter office called and talk to me so I went to they office and they talk to me and let me pick a job, ",I rush into it I wish I could've had more time because I just got out high school ,Umm I don't know,Making drill sergeants a lil calmer and nicer and I wish we can have better food
Hi,,,
A promise to my best friend,I wish we would have a little more time during pt in the mornings so we have a good workout,Like having another hour or two for working out in the morning instead of just two hours cause once you start to feel a good workout it's over,Maybe putting breakfast earlier
To have a better future and make sure my kids are set up for school,I wish there were had been more hands while in the classroom room,I wish that we had more examples that might happen while we are serving ,
Benefits and a way out of my home town ,Half scoop some of the food and the portions were pretty small ,,
For a different career opportunity ,Nothing,It's hard at first but you need to remember that they are trying to mold you into a soldier from a civilian.,No
2003,Nothing really everything was,Great,No thoughts 
For my family's future and myself ,I truly believe in the abilities of my senior drill sergeant and drill sergeants. ,My senior drill sergeant and my drill sergeants are experts and professionals in what they're doing.,None
To learn a new skill set and be able to travel ,Yellow phase is very boring due to the fact that we are confined to one area ,It's quarantine with PT ,Not sure 
metarie,not getting woken up in the middle of the night,more sleep,not having us bake in the sun
"Wanted to better myself and then found out about the benefits, which added an extra reason",The biggest issue I had with the last two weeks was having so much downtime during the day but not being able to do things like laundry(being that there are 53 of us and only 10 washing machines). Maybe if events were planned closer together so there was more downtime at once or just more at the end of th,Not enough time to wash clothes because the amount of people,Add double stacked washers and dryers 
My sister was sexually abused so I joined to learn how to protect her,I really don't have an answer ,I'm not sure,No
I joined the army to do something better with my life,"Some people get stressed out because it's a sudden change to their previous life, easing into it might be more helpful","BCT is very different, you have less freedom, you are just supposed to do whatever you are told, nothing more nothing less",Drill sergeants take classes on stress maybe
2001,Everything that has transpired in the past two weeks has been a great of training civilians to soldiers ,Well it's great place to be trained and prepared for the military at.,No at the moment 
No problem ! ,"Actually , maybe there should be more of a schedule. I know it's yellow phase but we seemed to have a lot of down time ",,
"College, learning new skills, and serving my country","The brooms are insufficient, as most of them are broken/worn out. There is also nothing to dust with, vinegar would work well for dusting liquid. And some paper towel or reusuable rags would be helpful to clean with ","You will have to clean a lot, and there will be nothing to clean with ",Putting better cleaning materials in the sleeping bags 
To afford college and serve the United States ,I had to spend most of my phone time charging my phone and my cell reception is not good so it takes a while to use my phone ,We only get phones on Sunday so it would be nice to get our phones for longer than 30 minutes maybe 45 minutes ,Charge the phones before we use them or give a couple of minutes to charge phones
Benefits ,First day at reception with no sleep ,The first day at BCT we had no sleep for 24 hours ,To tell drill sergeants to let us sleep  
2002,Wish that we were allowed to do more physical activities and do more team building exercises to be able to work better as a team to make us stronger and not argue as much ,That we got to do more running exercises and we would be able to do more then just the first 100 yards instead of just the one where we just run and put the stuff back where it was because it only is like 25 minutes long so you don't really build that much chemistry to exceed as much as a team ,just give the drill sergeants more stuff to work with 
1999,Actually eating chow in the DEFAC,Instead of eating outside on the ground all the time,I'd like to actually sit down and eat in the cafeteria. It might just be too many people and that's why we eat outside. I don't really know why,Just add more flavor to the food and make a way for all the trainees to eat  somewhere not on the ground
I joined because it was the most logical and assured way to better my future for me and the family i wish to have,"Everything that has happened so far is to expected when trying to manage 500 trainees from varying places and lifestyles. thievery, racism and fighting is unavoidable",I don't actually know how else i could explain that it's really just problems the way the world grew up making people more judgemental or too sensitive to operate in an efficient way ,Set new Social standards that aren't so confined 
Family and for a better life,Such as going into the training faster or implementing more to do,That in the beginning it is slow and kind of boring but it will all be worth it in the end ,Reliving the covid restrictions 
To set up my girlfriend and i for a good future and to be better than my dad ,"It was like school all over again, not a huge fan of being cooped up. Id rather be going on runs and more physical stuff ",The first two weeks of basic training isnt a lot of running and hiking. Its more class driven with PT in the morning. I would have preferred physical activity throughout the day ,No
I joined because I made a promise to my uncle before he passed,That oatmeal was very bland and had no taste,The oatmeal that we eat in the morning has no flavor and needs a little flavor ,Have some spices out to use if wanted
2002,"I wish the switching of platoon didn't happen because during these two week I, build bonds/teammates with the people in my platoon to only learn they aren't gonna be on my team anymore, also yellow phase, I don't like it but I understand why it's a thing ","I would describe it in a teamwork environment way, where u have teammates and grow together as a team; and the yellow phase is about it being boring, but it's don't because of covid","Nope, just letting the covid virus decrease over time"
I decided to join the army for my family and to help me in my future career ,One thing that I would have liked better is to have updated blue books and other supplies instead if the being out dated,"We should have up to date books, so we can study the right knowledge ","I think the books are out dated because the army is always changing and adding more rules and safety things, also new technology comes out every year","Im not sure, maybe trying to update the books more often "
Respect and benefits ,An provide them as well,And,"Asking, who is missing supplies once they arrive to bct"
I joined because I like the Comradery in the Army,"So after last formation, I wish I could go downstairs and utilize the pullup bars",I wish I could use the pullup bars during personal time,I think thedrill sergeant just needs to allow trainees to use it  
"I don't really anymore, kinda just here for the ride for now atleast but before was to have a better start in life","No, I can't ",I don't know,Nope
to set up a career and solidify mine and my kids future.,"dont really mean it, i have no second thoughts nor do i have regrets about joining the army. i am content and at peace with my decision.",be sure of what you wanna do and just know what you want in life at all times.,keep doing the same thing i've been doing
To set myself up for the future,There is a lot of sitting around going on and it seems like this two weeks is for for the drill sergeants to smoke us everyday rather than learn important skills ,These two weeks if yellow phase has a lot of sitting around and waiting rather than getting right into training and that kinda sucks,Where this week is used for quarantine there is limited things we can do I assume but I do thing we could do more this week instead of just waiting for red phase to start ,Start red phase sooner and shorten the yellow phase
The generations behind me did the same MOS so I thought I'd keep it going and to also take my mother to Italy like she dreamed ,"Maybe a few more stretches before the 1 mile assessments unless you dont get to do that in the acpft, then just keep doing what yall are doing","I think it would make sense either way but if I had to reword it, I'd say a little warm up before a physical test",Maybe just to prepare yourself because you can't always be prepared to do hard exercises. So the people who do take the test is just to prep them for the future? Just a guess.,"Maybe just some certain types of foods for the next day of PT? Like if we're running before breakfast, we should have something more fueling and not make us constipated."
For the benefits ,I think everything is fine and nothing is bad,,
Because I want to become a better man and contribute to this country ,Yes,Bct is fun,Not at all
To serve the country and make something out of myself ,Improved on my physical ability before I came to basic training ,Got more physically fit before I came here to basic,No I do not
"I joined for many reasons, to learn about life, to meet people, and to learn combat",More explanation about customs and courtesies ,Customs and courtesies is annoying ,Put it into the blue book or have a poster up explaining it
To hopefully get a career using what I learn here in the real world ,Echo,On what ,This didn't even ask me a question I don't even know how to answer this
My mom wasn't working so I needed a way to pay for college,"Communication to home, the letters are slow and inefficient in our modern age and the 30 minutes of phone time feels desperate, emails would almost be better if you still want to cut people off from home and have them focus on training. Just allow people to connect with their families better and the experience will be much less devastating and depressing.","The home-to-training communication is awful and only makes trainees more depressed and more likely to want to leave or perform other drastic actions. This isn't WWII anymore, this is 2021.","Yes, allow a method to send letters via email/internet, potentially use a copier to scan the letter and send it in mornings instead of putting it in a mailbox, save on money and time and make trainees happier"
"Father was special forces, and inspired me to join for the brotherhood and discipline, as well as the many benefits the Army can provide.","I wish we had stuff to do during the day rather then just sitting , yellow phase has just been sitting studying and pt, nothing like I thought basic was supposed to be",The first two weeks of basic training are sitting around reading a paper or working out and it's boring and isn't what I thought basic training to be,"Yellow phase, it's quarantine for a disease where you have to sit and do nothing and wear masks in heat cat 5, when alot of people already have had it or already are vaccinated","Remove yellow phase and go straight into red phase like before covid, and remove the forced masks"
"Manassas, VA",3-34th,More things to do. It was extremely boring.,Covid. Yellow phase sucks
I was born in 1986 in Sarh in Chad 🇹🇩 in Africa ,Feeding is not as good as I was thinking ,A lot of MRE and not good enough like at the processing cafeteria ,I'm not going to tell the things that are happening in BCT outside because Things that happen in BCT stay in BCT. That's my principle ,The big factor I think is COVID-19 
2002, Like the bottom of the beds got mold and the phone don't work dust and dirt all behind the dryer ,The mattress on the beds have mold on them also upon arriving there is tin or dust and dirt on the floor behind the washers and dryers ,Proper cleaning of each mattress between cycles and better cooks because we sweat and our body releases salt and we are not able to replace it 
"Money, opportunity, to see the world and to leave my neighborhood",The portions that are given are some what meager and I am usually still hungry ,The intense exercise makes you hungry but tou don't get that much food,More reflection time as well and I'm not sure
